model,condition,PR-AUC_mean,PR-AUC_std,ROC-AUC_mean,ROC-AUC_std,F1_mean,F1_std,Recall_mean,Recall_std,Precision_mean,Precision_std
RF,Class-weighting,0.84075,0.03547,0.96246,0.0128,0.85108,0.03241,0.82111,0.02141,0.88457,0.05561
XGB,Class-weighting,0.85806,0.02855,0.9822,0.00984,0.88114,0.02816,0.82113,0.02739,0.9511,0.03689
CatBoost,Class-weighting,0.76305,0.04745,0.97258,0.0068,0.81568,0.02554,0.78654,0.02626,0.84755,0.03324
LR,Class-weighting,0.72578,0.03283,0.97825,0.00637,0.78248,0.02349,0.7665,0.04031,0.80255,0.05241
ANN,Class-weighting,0.77649,0.02074,0.98085,0.00584,0.8193,0.0256,0.78252,0.02333,0.86029,0.03732
RF,SMOTE,0.84953,0.02954,0.98185,0.00951,0.85337,0.03121,0.79062,0.05247,0.92921,0.02702
XGB,SMOTE,0.85781,0.02836,0.97977,0.0081,0.87419,0.02401,0.80693,0.03577,0.95479,0.02578
CatBoost,SMOTE,0.83686,0.04486,0.97687,0.00582,0.86364,0.02958,0.81297,0.01757,0.92308,0.06276
LR,SMOTE,0.71686,0.02167,0.979,0.00686,0.77979,0.01255,0.78858,0.03122,0.7723,0.02109
ANN,SMOTE,0.82431,0.03619,0.97412,0.00728,0.84589,0.03705,0.81501,0.03626,0.88227,0.06983
RF,SMOTE-ENN,0.84307,0.03378,0.98336,0.00737,0.85313,0.03739,0.7987,0.04859,0.91709,0.04276
XGB,SMOTE-ENN,0.84004,0.03691,0.98049,0.00915,0.86553,0.03251,0.80686,0.04451,0.93454,0.03005
CatBoost,SMOTE-ENN,0.83622,0.0384,0.97521,0.00781,0.857,0.03713,0.80282,0.03353,0.91961,0.04836
LR,SMOTE-ENN,0.71645,0.0238,0.97914,0.00687,0.78165,0.0118,0.7865,0.05036,0.78147,0.04774
ANN,SMOTE-ENN,0.82674,0.04266,0.97104,0.00695,0.84429,0.02286,0.80897,0.01923,0.88359,0.03925
